0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,tx,ty,tz
0,0,0,7.004166,-10.19165,33.58691,11.56132,-17.6174,50.29767,14.5506,-22.92578,57.10577,0.0,0.0,0.0
0.1612701,-0.2279358,0.7671709,7.231384,-10.22046,34.40007,12.30003,-10.86285,52.53993,13.24323,-2.238525,55.40289,13.24323,-2.238525,55.40289
0,0,0,7.070114,-9.992523,33.6329,12.08945,-10.82782,51.77862,13.21156,-2.474274,55.30342,13.24323,-2.238525,55.40289
0.01821899,-0.02566528,0.08658314,7.095528,-9.995544,33.72469,12.12112,-10.59207,51.8781,13.24323,-2.238525,55.40289,13.24323,-2.238525,55.40289
0,0,0,7.077309,-9.969879,33.6381,12.09738,-10.58914,51.79228,13.23901,-2.269226,55.38961,13.24323,-2.238525,55.40289
0.002471924,-0.003479004,0.01174927,7.080757,-9.970276,33.65056,12.1016,-10.55844,51.80556,13.24323,-2.238525,55.40289,13.24323,-2.238525,55.40289
0,0,0,7.078285,-9.966797,33.63881,12.09838,-10.55807,51.79391,13.24264,-2.242767,55.40105,13.24323,-2.238525,55.40289
0.0003433228,-0.0004882813,0.00163269,7.078766,-9.966858,33.64054,12.09897,-10.55383,51.79575,13.24323,-2.238525,55.40289,13.24323,-2.238525,55.40289
0,0,0,7.078423,-9.96637,33.63891,12.09853,-10.5538,51.79414,13.24314,-2.239136,55.40263,13.24323,-2.238525,55.40289
2.9282,-4.837006,10.30199,11.84639,-19.56866,41.67797,18.55193,-33.07312,52.98392,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,8.91819,-14.73166,31.37599,14.98308,-26.27844,44.97919,17.9491,-33.86896,49.10859,21.06549,-41.84424,53.44733
2.330452,-4.128937,7.278148,11.93297,-21.14197,37.26743,18.09946,-34.25372,49.31792,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,9.602516,-17.01303,29.98928,15.477,-28.93262,43.35239,18.42546,-35.74475,48.67843,21.06549,-41.84424,53.44733
2.193611,-4.045502,6.392185,12.16155,-22.42865,35.43885,18.11703,-35.0321,48.12129,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,9.967941,-18.38315,29.04667,15.74194,-30.17969,42.5619,18.63356,-36.51559,48.47459,21.06549,-41.84424,53.44733
2.151276,-4.067749,5.995588,12.33885,-23.33105,34.38832,18.17387,-35.50833,47.53463,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,10.18758,-19.26331,28.39274,15.90035,-30.88373,42.08537,18.74124,-36.91214,48.33458,21.06549,-41.84424,53.44733
2.140549,-4.113525,5.790654,12.46777,-23.95944,33.72802,18.22461,-35.81583,47.19812,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,10.32722,-19.84592,27.93737,15.99979,-31.31686,41.77206,18.8018,-37.13992,48.23005,21.06549,-41.84424,53.44733
2.141037,-4.158752,5.676046,12.55975,-24.39615,33.29683,18.26347,-36.02118,46.98933,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,10.41871,-20.23737,27.62078,16.06404,-31.59589,41.55897,18.83775,-37.27945,48.15205,21.06549,-41.84424,53.44733
2.144951,-4.196411,5.608436,12.62465,-24.69888,33.00977,18.29178,-36.16068,46.85425,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,10.47969,-20.50247,27.40133,16.10637,-31.78033,41.41235,18.85997,-37.36841,48.09488,21.06549,-41.84424,53.44733
2.149323,-4.225372,5.56694,12.67007,-24.9082,32.81659,18.31189,-36.25616,46.7648,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,10.52075,-20.6828,27.24965,16.13461,-31.90411,41.31116,18.87408,-37.42661,48.05373,21.06549,-41.84424,53.44733
2.153114,-4.246765,5.54071,12.70168,-25.05261,32.68577,18.326,-36.32175,46.70476,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,10.54857,-20.80585,27.14506,16.15361,-31.98785,41.24134,18.88327,-37.4653,48.02452,21.06549,-41.84424,53.44733
2.15609,-4.262177,5.523725,12.72357,-25.15204,32.59678,18.33583,-36.36679,46.66415,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,10.56748,-20.88986,27.07306,16.16647,-32.04474,41.1932,18.88931,-37.49124,48.00397,21.06549,-41.84424,53.44733
2.158302,-4.273071,5.512568,12.73868,-25.22043,32.53613,18.34264,-36.39774,46.63655,21.06549,-41.84424,53.44733,21.06549,-41.84424,53.44733
0,0,0,10.58038,-20.94736,27.02356,16.1752,-32.08356,41.16008,18.89336,-37.50882,47.98967,21.06549,-41.84424,53.44733
0.9932861,-1.698761,2.477248,12.23034,-20.91687,30.50227,20.30628,-20.7677,47.52919,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.23705,-19.21811,28.02503,19.16252,-20.57227,45.06943,22.49305,-14.28192,50.79691,23.07599,-13.18091,51.79938
0.3012772,-0.494812,0.7468538,11.7095,-19.23218,29.02712,19.74546,-19.47128,46.07191,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.40822,-18.73737,28.28027,19.39935,-19.44083,45.33329,22.85439,-13.5582,51.40966,23.07599,-13.18091,51.79938
0.1204987,-0.1948242,0.2980223,11.59416,-18.74475,28.67519,19.62094,-19.06354,45.72301,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.47366,-18.54993,28.37717,19.48275,-19.05484,45.4288,22.98221,-13.3342,51.6331,23.07599,-13.18091,51.79938
0.05187988,-0.08328247,0.1281748,11.55321,-18.55338,28.54621,19.57653,-18.90155,45.59508,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.50133,-18.47009,28.41803,19.51708,-18.89838,45.46864,23.03474,-13.24716,51.72601,23.07599,-13.18091,51.79938
0.02297211,-0.03677368,0.0567379,11.53646,-18.47165,28.4927,19.55833,-18.83212,45.542,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.51349,-18.43488,28.43597,19.53201,-18.83081,45.48605,23.05757,-13.21027,51.76657,23.07599,-13.18091,51.79938
0.01028442,-0.01644897,0.02540779,11.52921,-18.43558,28.46937,19.55043,-18.80145,45.51886,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.51892,-18.41913,28.44397,19.53865,-18.80087,45.4938,23.06771,-13.19406,51.78462,23.07599,-13.18091,51.79938
0.004623413,-0.007385254,0.01143074,11.52599,-18.41943,28.459,19.54693,-18.78772,45.50856,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.52137,-18.41205,28.44757,19.54163,-18.78748,45.4973,23.07226,-13.18683,51.79272,23.07599,-13.18091,51.79938
0.002082825,-0.003356934,0.005153656,11.52456,-18.41217,28.45434,19.54536,-18.78156,45.50395,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.52248,-18.40881,28.44919,19.54296,-18.78143,45.49887,23.0743,-13.18356,51.79638,23.07599,-13.18091,51.79938
0.0009460449,-0.001495361,0.00232029,11.52392,-18.40887,28.45225,19.54465,-18.77878,45.50187,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.52297,-18.40738,28.44993,19.54356,-18.77872,45.49959,23.07523,-13.18213,51.79803,23.07599,-13.18091,51.79938
0.0004272461,-0.0006713867,0.001047134,11.52362,-18.40741,28.4513,19.54432,-18.7775,45.50094,23.07599,-13.18091,51.79938,23.07599,-13.18091,51.79938
0,0,0,11.52319,-18.40674,28.45025,19.54383,-18.77747,45.49991,23.07565,-13.18146,51.79877,23.07599,-13.18091,51.79938
0.08180237,-0.1289673,0.203639,11.58376,-18.26157,28.83792,14.31189,-11.72192,46.30071,8.892639,-4.413818,47.13019,8.892639,-4.413818,47.13019
0,0,0,11.50195,-18.1326,28.63428,14.2887,-11.77484,46.15489,8.917946,-4.448334,47.12561,8.892639,-4.413818,47.13019
0.002426147,-0.003814697,0.006040573,11.50375,-18.12848,28.64561,14.26339,-11.74033,46.15946,8.892639,-4.413818,47.13019,8.892639,-4.413818,47.13019
0,0,0,11.50132,-18.12466,28.63958,14.2627,-11.74191,46.15511,8.893417,-4.414886,47.13005,8.892639,-4.413818,47.13019
7.629395E-05,-0.0001220703,0.0001945496,11.50138,-18.12454,28.63993,14.26192,-11.74084,46.15525,8.892639,-4.413818,47.13019,8.892639,-4.413818,47.13019
0,0,0,11.5013,-18.12442,28.63973,14.2619,-11.74091,46.15511,8.89267,-4.413849,47.13018,8.892639,-4.413818,47.13019
0.4045105,-0.6723938,1.224839,10.3575,-17.21609,31.36206,3.380188,-11.67523,47.96853,-5.631287,-11.62085,49.47028,-5.631287,-11.62085,49.47028
0,0,0,9.952988,-16.5437,30.13722,3.638901,-11.86688,47.26667,-5.246391,-11.63104,49.37878,-5.631287,-11.62085,49.47028
0.03299713,-0.05508423,0.1013241,9.876549,-16.49023,30.33374,3.254005,-11.85669,47.35817,-5.631287,-11.62085,49.47028,-5.631287,-11.62085,49.47028
0,0,0,9.843552,-16.43515,30.23241,3.277229,-11.87283,47.2978,-5.59523,-11.62186,49.46148,-5.631287,-11.62085,49.47028
0.003189087,-0.005310059,0.009788513,9.836273,-16.43011,30.25124,3.241173,-11.87183,47.30659,-5.631287,-11.62085,49.47028,-5.631287,-11.62085,49.47028
0,0,0,9.833084,-16.4248,30.24145,3.243431,-11.87338,47.30075,-5.627769,-11.62097,49.46941,-5.631287,-11.62085,49.47028
0.0003128052,-0.0005187988,0.0009660721,9.832375,-16.42432,30.2433,3.239914,-11.87326,47.30161,-5.631287,-11.62085,49.47028,-5.631287,-11.62085,49.47028
0,0,0,9.832062,-16.4238,30.24233,3.240135,-11.87341,47.30103,-5.630936,-11.62085,49.47019,-5.631287,-11.62085,49.47028
6.587387,-0.7162476,17.64119,19.09869,-2.07663,51.14679,25.56798,7.939514,65.74076,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,12.51131,-1.360352,33.5056,19.34616,3.507904,50.37995,23.68122,6.96228,57.64214,31.38165,13.09839,70.54205
5.751518,1.109497,14.14112,19.20047,3.703857,47.20778,27.04659,9.643982,63.27987,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,13.44896,2.59436,33.06665,21.01399,6.516418,49.87577,24.95406,9.017792,57.72968,31.38165,13.09839,70.54205
5.717133,1.784546,13.44192,19.62209,6.124878,46.13477,27.44158,10.59702,62.68814,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,13.90495,4.340302,32.69285,21.52057,7.860291,49.56801,25.31207,9.874298,57.63233,31.38165,13.09839,70.54205
5.755524,2.109161,13.2298,19.8834,7.286499,45.70452,27.59016,11.08438,62.47773,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,14.12788,5.177338,32.47472,21.72131,8.509216,49.39799,25.44598,10.27863,57.55035,31.38165,13.09839,70.54205
5.787056,2.271118,13.15323,20.02408,7.858337,45.51213,27.65698,11.32898,62.38969,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,14.23702,5.587219,32.3589,21.81132,8.827881,49.30844,25.50378,10.47556,57.50087,31.38165,13.09839,70.54205
5.805672,2.351929,13.12202,20.09628,8.141174,45.42174,27.68919,11.45074,62.34962,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,14.29061,5.789246,32.29972,21.854,8.985107,49.26263,25.5306,10.57239,57.4741,31.38165,13.09839,70.54205
5.815613,2.392151,13.10819,20.13261,8.281128,45.37818,27.70505,11.51111,62.33059,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,14.31699,5.888977,32.26999,21.87473,9.062744,49.23958,25.54347,10.62012,57.46027,31.38165,13.09839,70.54205
5.820709,2.412048,13.10175,20.15071,8.350342,45.35693,27.71289,11.54102,62.32136,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,14.33,5.938293,32.25518,21.88488,9.101135,49.22807,25.54975,10.64371,57.45329,31.38165,13.09839,70.54205
5.823273,2.421936,13.09866,20.1597,8.384613,45.34649,27.71678,11.55582,62.31683,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,14.33643,5.962646,32.24783,21.88989,9.120087,49.22235,25.55284,10.65533,57.44979,31.38165,13.09839,70.54205
5.824554,2.426849,13.09715,20.16415,8.40155,45.34134,27.7187,11.56311,62.31461,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,14.3396,5.974701,32.24419,21.89236,9.129456,49.21952,25.55437,10.6611,57.44806,31.38165,13.09839,70.54205
5.825195,2.429291,13.09642,20.16637,8.409943,45.3388,27.71967,11.56677,62.31351,31.38165,13.09839,70.54205,31.38165,13.09839,70.54205
0,0,0,14.34117,5.980652,32.24238,21.89359,9.134125,49.21811,25.5551,10.66394,57.4472,31.38165,13.09839,70.54205
5.406242,-1.583374,10.75013,21.34926,-6.252747,42.45228,28.93646,-19.49701,53.50587,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,15.94302,-4.669373,31.70215,24.27322,-14.17551,45.6807,27.71016,-21.27859,50.28488,31.09601,-28.27612,54.82062
3.453674,-1.732056,6.603899,19.60966,-9.834351,37.49638,27.65907,-21.17303,50.21644,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.15599,-8.102295,30.89248,24.49023,-17.57233,44.89311,28.25648,-23.67505,50.55324,31.09601,-28.27612,54.82062
2.904671,-1.797119,5.429582,19.11167,-11.82437,35.72473,27.32975,-22.1734,49.16049,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.207,-10.02725,30.29515,24.57726,-19.16766,44.49199,28.48605,-24.6293,50.68528,31.09601,-28.27612,54.82062
2.66523,-1.854797,4.906727,18.87772,-13.13748,34.75409,27.18722,-22.81448,48.62733,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.21249,-11.28265,29.84736,24.61343,-20.11005,44.22305,28.59714,-25.1283,50.73552,31.09601,-28.27612,54.82062
2.544434,-1.909302,4.633644,18.74728,-14.06754,34.14048,27.1123,-23.25787,48.30815,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.20285,-12.15823,29.50684,24.62645,-20.72867,44.02404,28.65379,-25.427,50.74498,31.09601,-28.27612,54.82062
2.47908,-1.958649,4.478623,18.66788,-14.7489,33.72483,27.06866,-23.57779,48.09967,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.1888,-12.79025,29.24621,24.62869,-21.15851,43.8715,28.68312,-25.62061,50.73562,31.09601,-28.27612,54.82062
2.442291,-2.001465,4.385861,18.61688,-15.25659,33.43225,27.04158,-23.81403,47.9565,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.1746,-13.25513,29.04639,24.62615,-21.46707,43.75332,28.69815,-25.75256,50.71885,31.09601,-28.27612,54.82062
2.421036,-2.037384,4.328198,18.58292,-15.63815,33.22148,27.02402,-23.99066,47.85509,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.16188,-13.60077,28.89329,24.62184,-21.69293,43.66166,28.70558,-25.84546,50.70045,31.09601,-28.27612,54.82062
2.408531,-2.066772,4.291232,18.55967,-15.92615,33.06739,27.01227,-24.1236,47.78182,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.15114,-13.85938,28.77616,24.6172,-21.86017,43.59074,28.70901,-25.91226,50.68317,31.09601,-28.27612,54.82062
2.401039,-2.090332,4.266914,18.54341,-16.14398,32.95364,27.0042,-24.224,47.72819,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.14237,-14.05362,28.68673,24.6129,-21.98492,43.53609,28.71035,-25.96109,50.66813,31.09601,-28.27612,54.82062
2.396484,-2.109039,4.250546,18.53186,-16.3089,32.86911,26.99856,-24.29996,47.68858,31.09601,-28.27612,54.82062,31.09601,-28.27612,54.82062
0,0,0,16.13538,-14.19986,28.61856,24.60918,-22.0784,43.4941,28.71065,-25.99707,50.65559,31.09601,-28.27612,54.82062
